pop10,white10,black10,asian10,p4tot10,hisp10,NAME,state,county,tract,block group,TRACT,BG,GEOID_BG,white10_pct,black10_pct,asian10_pct,hisp10_pct
1059,6,1038,0,1059,9,"Block Group 1, Census Tract 7501, Cook County, Illinois",17,031,750100,1,750100,1,170317501001,0.57,98.02,0.0,0.85
853,2,832,0,853,8,"Block Group 2, Census Tract 7501, Cook County, Illinois",17,031,750100,2,750100,2,170317501002,0.23,97.54,0.0,0.94
861,5,827,0,861,14,"Block Group 3, Census Tract 7501, Cook County, Illinois",17,031,750100,3,750100,3,170317501003,0.58,96.05,0.0,1.63
1374,17,1324,10,1374,8,"Block Group 4, Census Tract 7501, Cook County, Illinois",17,031,750100,4,750100,4,170317501004,1.24,96.36,0.73,0.58
761,40,689,13,761,11,"Block Group 1, Census Tract 7502, Cook County, Illinois",17,031,750200,1,750200,1,170317502001,5.26,90.54,1.71,1.45
878,146,669,11,878,37,"Block Group 2, Census Tract 7502, Cook County, Illinois",17,031,750200,2,750200,2,170317502002,16.63,76.2,1.25,4.21
757,575,133,1,757,33,"Block Group 3, Census Tract 7502, Cook County, Illinois",17,031,750200,3,750200,3,170317502003,75.96,17.57,0.13,4.36
831,445,318,9,831,36,"Block Group 4, Census Tract 7502, Cook County, Illinois",17,031,750200,4,750200,4,170317502004,53.55,38.27,1.08,4.33
741,690,16,5,741,28,"Block Group 1, Census Tract 7503, Cook County, Illinois",17,031,750300,1,750300,1,170317503001,93.12,2.16,0.67,3.78
918,688,178,3,918,41,"Block Group 2, Census Tract 7503, Cook County, Illinois",17,031,750300,2,750300,2,170317503002,74.95,19.39,0.33,4.47
871,814,13,4,871,31,"Block Group 3, Census Tract 7503, Cook County, Illinois",17,031,750300,3,750300,3,170317503003,93.46,1.49,0.46,3.56
1499,1282,100,7,1499,94,"Block Group 1, Census Tract 7504, Cook County, Illinois",17,031,750400,1,750400,1,170317504001,85.52,6.67,0.47,6.27
835,213,568,2,835,24,"Block Group 2, Census Tract 7504, Cook County, Illinois",17,031,750400,2,750400,2,170317504002,25.51,68.02,0.24,2.87
675,427,200,6,675,34,"Block Group 3, Census Tract 7504, Cook County, Illinois",17,031,750400,3,750400,3,170317504003,63.26,29.63,0.89,5.04
1860,876,865,10,1860,71,"Block Group 1, Census Tract 7505, Cook County, Illinois",17,031,750500,1,750500,1,170317505001,47.1,46.51,0.54,3.82
718,161,511,2,718,34,"Block Group 2, Census Tract 7505, Cook County, Illinois",17,031,750500,2,750500,2,170317505002,22.42,71.17,0.28,4.74
2016,40,1909,5,2016,28,"Block Group 3, Census Tract 7505, Cook County, Illinois",17,031,750500,3,750500,3,170317505003,1.98,94.69,0.25,1.39
1342,19,1284,1,1342,24,"Block Group 4, Census Tract 7505, Cook County, Illinois",17,031,750500,4,750500,4,170317505004,1.42,95.68,0.07,1.79
1154,2,1110,1,1154,21,"Block Group 1, Census Tract 7506, Cook County, Illinois",17,031,750600,1,750600,1,170317506001,0.17,96.19,0.09,1.82
822,6,803,0,822,6,"Block Group 2, Census Tract 7506, Cook County, Illinois",17,031,750600,2,750600,2,170317506002,0.73,97.69,0.0,0.73
845,1,817,0,845,15,"Block Group 3, Census Tract 7506, Cook County, Illinois",17,031,750600,3,750600,3,170317506003,0.12,96.69,0.0,1.78
860,4,835,2,860,12,"Block Group 4, Census Tract 7506, Cook County, Illinois",17,031,750600,4,750600,4,170317506004,0.47,97.09,0.23,1.4
