length,highway,name
25.542512884983907,residential,West 109th Street
203.11525927446675,residential,South Talman Avenue
203.12740825334214,residential,South Talman Avenue
102.78493259745534,residential,West 109th Street
89.374153399194,residential,West 109th Street
101.67216270056005,residential,West 109th Street
202.6144193765815,residential,South Washtenaw Avenue
203.17651435800104,residential,South Washtenaw Avenue
102.78493259745534,residential,West 109th Street
202.79126379793144,residential,South Fairfield Avenue
202.29062634461664,residential,South Fairfield Avenue
98.18454490748464,residential,West 109th Street
101.67216270056005,residential,West 109th Street
98.18454490748464,residential,West 109th Street
100.78992142021022,residential,South Morgan Street
218.9151171120964,residential,West 109th Street
100.6332176347847,residential,South Morgan Street
107.26504929065094,residential,South Beverly Avenue
218.9151171120964,residential,West 109th Street
107.42938796351706,residential,South Beverly Avenue
202.3504536659649,primary,South Halsted Street
96.58842221979218,residential,West 109th Street
100.93978902388822,residential,West 109th Street
96.58842221979218,residential,West 109th Street
202.28962323989114,residential,South Green Street
201.91701506092892,residential,South Peoria Street
291.6182700197281,residential,South Peoria Street
100.32531903865564,residential,West 109th Street
100.93978902388822,residential,West 109th Street
98.61048286993736,residential,South Sangamon Street
202.89817249409114,residential,South Sangamon Street
100.32531903865564,residential,West 109th Street
18.899091397653436,tertiary,West 119th Street
76.7717165284658,residential,West 111th Place
76.7717165284658,residential,West 111th Place
201.34042633118537,residential,West 111th Place
101.02582867550542,residential,South Aberdeen Street
202.7604125318333,residential,West 111th Place
101.19354760257534,residential,South Racine Avenue
101.04883840698974,residential,South Racine Avenue
101.20831887113384,residential,South Throop Street
202.58631063868262,residential,West 111th Place
101.04885308943014,residential,South Loomis Street
305.4102841250838,residential,West 111th Place
74.82856648989598,residential,South Bell Avenue
109.9411338724718,residential,South Bell Avenue
305.4102841250838,residential,West 111th Place
111.5474446344028,secondary,South Western Avenue
72.2627233398805,secondary,South Western Avenue
65.59565136951963,residential,South Laflin Street
119.39937271479576,residential,South Laflin Street
134.40230274630173,residential,West 112th Street
119.39937271479576,residential,South Laflin Street
200.83803796398067,residential,South Laflin Street
55.11937520148568,residential,West 112th Place
134.57114744336195,residential,West 112th Place
200.83803796398067,residential,South Laflin Street
193.3748146893892,residential,South Laflin Street
93.74809998768288,residential,West 113th Place
193.3748146893892,residential,South Laflin Street
101.16977171482668,residential,South Laflin Street
135.12730595094445,residential,West 114th Place
33.512654719102,tertiary,West 115th Street
67.55668876122958,tertiary,West 115th Street
101.16977171482668,residential,South Laflin Street
67.55668876122958,tertiary,West 115th Street
30.243983195384352,residential,West 110th Street
88.11768444248862,residential,West 116th Place
100.83963213663698,residential,South Maplewood Avenue
101.35158591170078,residential,South Maplewood Avenue
49.62444669021531,residential,West 116th Place
152.21236630937673,residential,South Bell Avenue
29.628438178210963,residential,South Bell Avenue
107.39309922892353,residential,West 116th Place
49.62444669021531,residential,West 116th Place
54.06386117192594,residential,West 116th Place
147.9860761035542,residential,West 116th Place
107.39309922892355,residential,West 116th Place
289.7889287923451,residential,South Oakley Avenue
280.94170999782165,residential,South Oakley Avenue
147.98607610355418,residential,West 116th Place
133.205333773489,secondary,South Western Avenue
54.06386117192594,residential,West 116th Place
33.64321705096103,residential,South Bell Avenue
82.0088075738675,residential,South Bell Avenue
90.13006710423703,tertiary,South Longwood Drive
242.81493694219515,residential,West 116th Place
113.42797883829036,tertiary,South Longwood Drive
242.81493694219515,residential,West 116th Place
29.628438178210963,residential,South Bell Avenue
33.64321705096103,residential,South Bell Avenue
282.5668208875342,residential,West 107th Place
74.57030612815156,residential,South Hoyne Avenue
302.13920402354603,residential,West 107th Place
282.5668208875342,residential,West 107th Place
302.13920402354603,residential,West 107th Place
29.296698441228756,secondary,South Western Avenue
202.47411776245423,residential,West 107th Place
102.40544225360784,residential,South Morgan Street
101.18183856001804,residential,South Morgan Street
124.16339562420988,residential,West 107th Place
202.47411776245423,residential,West 107th Place
101.38610194954019,residential,South Aberdeen Street
48.46788023842047,residential,West 107th Place
124.16339562420988,residential,West 107th Place
108.66567410040906,residential,South Beverly Avenue
48.46788023842047,residential,West 107th Place
82.45038897179171,residential,West 107th Place
147.64221488898806,residential,"['West 108th Street', 'South Loomis Street']"
101.91414608639987,residential,South Loomis Street
290.7969026514715,residential,"['South Racine Avenue', 'West 107th Place']"
108.13207963191898,residential,South Throop Street
94.1801900541423,residential,South Throop Street
57.777568259300246,residential,West 107th Place
162.32374991233453,residential,South Wood Street
211.74431542455682,residential,West Waseca Place
101.77110841615627,secondary,South Vincennes Avenue
103.21932215146265,secondary,South Vincennes Avenue
220.8366742056427,residential,"['South Bishop Street', 'West 108th Street']"
197.24950324914246,residential,West 108th Place
26.05620128747977,residential,South Loomis Street
100.67068373474616,residential,South Loomis Street
101.93834534489056,residential,South Loomis Street
133.20664516521586,residential,West 109th Place
202.64605693481766,residential,West 109th Place
102.43897927206098,residential,South Loomis Street
100.67068373474615,residential,South Loomis Street
134.40377378805113,residential,West 110th Street
202.575466570324,residential,West 110th Street
99.91418657517121,residential,South Loomis Street
102.43897927206099,residential,South Loomis Street
202.5010449737827,residential,West 110th Place
134.3142033982012,residential,West 110th Place
99.91418657517121,residential,South Loomis Street
134.23051681733577,secondary,West 111th Street
202.4255324593644,secondary,West 111th Street
98.42398750079512,residential,South Loomis Street
203.0719377600564,residential,West 112th Street
133.96445977438924,residential,West 112th Place
101.52360300317532,residential,West 112th Place
117.19869133485264,residential,South Loomis Street
133.79518022791507,residential,West 113th Place
200.6738008834609,residential,South Loomis Street
101.55810405423998,residential,West 114th Place
193.85572128898593,residential,South Loomis Street
101.91414608639987,residential,South Loomis Street
166.68914570642826,residential,West 107th Street
108.13207963191898,residential,South Throop Street
30.45666423134584,residential,West 107th Street
203.52812794415772,"['residential', 'tertiary']",West 107th Street
202.3948985846933,residential,West 108th Street
94.1801900541423,residential,South Throop Street
101.87030297208307,residential,South Throop Street
197.24950324914246,residential,West 108th Place
202.46392050470334,residential,West 108th Place
100.72416288560454,residential,South Throop Street
101.87030297208305,residential,South Throop Street
202.64605693481766,residential,West 109th Place
202.65425834381034,residential,West 109th Place
101.10268471544829,residential,South Throop Street
