x,y
-87.6521896,41.6949724
-87.6521608,41.6940615
-87.6521033,41.6922427
-87.6520134,41.6893996
-87.6519564,41.6875972
-87.6519013,41.6858551
-87.6629076,41.6949816
-87.6640398,41.693362
-87.6669065,41.6887982
-87.6678612,41.6871197
-87.6690661,41.6846794
-87.6695515,41.683799
-87.6616129,41.6966885
-87.6844144,41.6781523
-87.6586744,41.6948888
-87.6860165,41.6944948
-87.6603219,41.6948739
-87.6614056,41.6948574
-87.6473225,41.6950383
-87.6495363,41.6949994
-87.6471162,41.6883186
-87.6470942,41.6876604
-87.6474652,41.6995859
-87.6473793,41.6968492
-87.6472937,41.6941192
-87.6472366,41.6923
-87.662461,41.6775239
-87.6633191,41.6921045
-87.6597307,41.6921526
-87.6586008,41.692166
-87.6496784,41.6922712
-87.6448096,41.6923286
-87.6709468,41.6919435
-87.6774957,41.6918406
-87.681157,41.6917979
-87.684876,41.6917575
-87.6859264,41.6917453
-87.68854,41.691715
-87.6897728,41.6917007
-87.6607918,41.6892891
-87.6684408,41.6834309
-87.6719706,41.6827437
-87.6725716,41.6827814
-87.6845633,41.6826855
-87.6773284,41.6831352
-87.6638399,41.6775871
-87.6450283,41.6996142
-87.6493359,41.6995641
-87.6507004,41.6995482
-87.6656178,41.6883803
-87.6885998,41.6935431
-87.6494792,41.685887
-87.6506946,41.685871
-87.6555599,41.6858069
-87.658392,41.6857739
-87.6603945,41.6848382
-87.6637331,41.6963609
-87.6702984,41.6934514
-87.6788411,41.6966495
-87.6786339,41.6940215
-87.6775583,41.6934141
-87.6789208,41.6886565
-87.6787646,41.687254
-87.6787531,41.6871332
-87.6794332,41.6844714
-87.6791355,41.6844394
-87.6556185,41.6875496
-87.6556721,41.6893518
-87.6556498,41.6888984
-87.6735979,41.6773263
-87.6813061,41.696605
-87.6812245,41.6939739
-87.6812143,41.6936455
-87.6810584,41.6886158
-87.6810113,41.6870968
-87.6809318,41.6845335
-87.6601294,41.6967034
-87.662795,41.6928716
-87.6665792,41.6866925
-87.6677125,41.6847052
-87.6719013,41.6773589
-87.644865,41.6941488
-87.6446457,41.6870538
-87.6504519,41.6968051
-87.6490804,41.6940987
-87.6843848,41.6772496
-87.6732265,41.6773335
-87.666247,41.6774674
-87.6477717,41.6894528
-87.6495897,41.6894299
-87.6508088,41.6894146
-87.6585077,41.6893178
-87.661875,41.6892784
-87.67649,41.6966994
-87.6765345,41.6940579
-87.6772292,41.6902003
-87.6767527,41.6872764
-87.6770585,41.684944
-87.6771118,41.6837849
-87.6772052,41.6804858
-87.6844739,41.6799626
-87.6855319,41.6799467
-87.6688572,41.6960917
-87.6699042,41.6955133
-87.6714382,41.6879289
-87.6718272,41.6846266
-87.6723462,41.6846167
-87.6507507,41.6876129
-87.6859867,41.6935848
-87.6862885,41.6935747
-87.6898327,41.6935323
-87.6607045,41.6939442
-87.6586601,41.6939798
-87.6627256,41.684802
-87.6846223,41.6844837
-87.6860047,41.6844651
-87.6495335,41.6876287
-87.6584487,41.6875129
-87.6589657,41.6971511
-87.6499056,41.6995575
-87.6636542,41.6857603
-87.666264,41.6847333
-87.6601767,41.6909607
-87.6600833,41.6957747
-87.6619082,41.6945941
-87.6697419,41.6917029
-87.6704663,41.6844279
-87.6715322,41.6930579
-87.671091,41.6930068
-87.672008,41.6915532
-87.6751104,41.6772973
-87.6692529,41.6846758
-87.6587608,41.6962914
-87.6609885,41.6886188
-87.6623467,41.6854746
-87.6624446,41.6804873
-87.6620083,41.6889267
-87.6623185,41.6840665
-87.6619345,41.6832904
-87.6613978,41.6784804
-87.6807613,41.6791116
-87.6771642,41.6842714
-87.6761539,41.6842689
-87.6737851,41.6900265
-87.6470312,41.6857777
-87.6670354,41.6924739
-87.6684844,41.6930627
-87.6634387,41.6964812
-87.668564,41.6933495
-87.6492156,41.6931798
-87.6824359,41.6912595
-87.6769991,41.684509
-87.6768834,41.6842611
-87.6770587,41.6843712
-87.6771082,41.6840046
-87.6458791,41.6891663
-87.6855595,41.6790393
-87.6855942,41.6817601
-87.685699,41.6849315
-87.6856215,41.6826694
-87.6836422,41.6913173
-87.6857746,41.6781269
-87.6742429,41.6938019
-87.6737481,41.6941888
-87.6815031,41.6827319
-87.6620431,41.6962007
-87.6675372,41.6980558
-87.6579889,41.6974278
-87.6770647,41.6842743
-87.676051,41.684489
-87.6807395,41.6783322
-87.6685105,41.677424
-87.6768703,41.6772636
-87.6809024,41.6809205
-87.6423194,41.6887222
-87.6809474,41.6827403
-87.6808058,41.6827425
-87.6801966,41.6844755
-87.6652674,41.6774862
-87.6570217,41.6958268
-87.6579812,41.6961383
-87.6579581,41.6958157
-87.6570243,41.6857883
-87.6520469,41.697686
-87.6522753,41.6976829
-87.6739929,41.6970577
-87.6735444,41.6971777
-87.6813353,41.6975476
-87.6811058,41.6901453
-87.6810507,41.6883569
-87.6810036,41.6868497
